"ID";"label";"Country";"N";"B_IB";"B_ATT";"B_PBC";"B_PN";"B_SN";"IB_ATT";"IB_PBC";"IB_PN";"IB_SN";"ATT_PBC";"ATT_PN";"ATT_SN";"PBC_PN";"PBC_SN";"PN_SN";"POW";"IC";"MASC";"UA";"LSO";"INDUL";"UA_p";"FUT_p";"POW_p";"inst_p";"HUMAN_p";"PERF_p";"ingr_p";"EGAL_p";"ASSERT_p";"UA_v";"FUT_v";"POW_v";"inst_v";"HUMAN_v";"PERF_v";"ingr_v";"EGAL_v";"ASSERT_v"
"1";1;"Dagher & Itani (2012)";"Lebanon";75;NA;-0.165;NA;NA;0.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75;40;65;50;14;25;3.82;3.795;5.15;4.245;4.02;3.955;5.29;3.04;4.38;4.525;5.54;2.565;4.765;5.57;5.57;5.76;4.605;3.21
"2";2;"Bartels & Hoogendam (2011)";"Germany";961;NA;0.302;NA;0.57;NA;NA;NA;NA;NA;NA;0.315;NA;NA;NA;NA;35;67;66;65;83;40;5.19;4.11;5.395;3.675;3.29;4.17;4.27;3.08;4.64;3.63;5.04;2.615;4.75;5.45;6.05;5.2;4.895;3.16
"3";3;"Awad (2011)";"Bahrain";241;NA;NA;0.373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;25;55;80;NA;NA;3.95666666666667;3.58;5.09333333333333;4.29;4.39;3.99333333333333;5.51333333333333;3.06666666666667;3.92666666666667;4.98333333333333;5.83333333333333;3.06666666666667;5.27333333333333;5.32333333333333;6.02333333333333;5.63;3.52666666666667;4.18333333333333
"4";4;"Biel, Dahlstrand & Grankvist (2005)";"Sweden";200;0.545;0.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"5";5;"Firat (2009)";"Turkey";254;NA;NA;0.621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;66;37;45;85;46;49;3.63;3.74;5.57;4.03;3.94;3.83;5.88;2.89;4.53;4.67;5.83;2.41;5.26;5.52;5.39;5.77;4.5;2.66
"6";6;"Gleim, Smith & Andrews (2013)";"USA";581;NA;NA;NA;NA;NA;0.76;0.65;0.68;0.31;0.66;0.65;0.23;0.81;0.23;0.22;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"7";7;"Kim & Choi (2005)";"USA";304;NA;NA;0.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"8";8;"Kim (2011)";"South Korea";216;NA;NA;0.14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;18;39;85;100;29;3.55;3.97;5.61;5.2;3.81;4.55;5.54;2.5;4.4;4.67;5.69;2.55;3.9;5.6;5.25;5.41;4.22;3.75
"9";9;"Park & Ha (2012)";"USA";363;NA;NA;NA;NA;NA;0.33;NA;0.53;0.36;NA;0.35;0.19;NA;NA;0.4;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"10";10;"Phau & Ong (2007)";"Australia";285;NA;NA;NA;NA;NA;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"11";11;"Shahnaei (2012)";"Malaysia";200;NA;0.322;NA;0.369;NA;NA;NA;NA;NA;NA;0.161;NA;NA;NA;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
