"","NA","NA","IC","inst_v","ingr_v","inst_p","ingr_p"
"Australia (13)",6061,13,90,4.4,5.75,4.29,4.17
"Bahrain (1)",241,1,25,5.27,5.63,4.29,5.51
"Bangladesh (1)",319,1,25,4.93,5.6,4.22,5.56
"Belgium (3)",2731,3,75,4.69,5.18,4.12,3.86
"Bosnia and Herzegovina (1)",173,1,22,4.41,5.46,4.34,5.58
"Brazil (2)",754,2,38,5.62,5.15,3.83,5.18
"Canada (4)",1865,4,80,4.17,5.97,4.38,4.26
"China (45)",24969,45,20,4.56,5.09,4.77,5.8
"Cyprus (1)",500,1,35,5.4,5.46,3.25,5.27
"Czech Republic (1)",252,1,58,3.85,4.06,3.6,3.18
"Denmark (7)",4695,7,74,4.19,5.5,4.8,3.53
"Egypt (2)",1390,2,25,4.85,5.56,4.5,5.64
"Fiji Islands (1)",205,1,14,4.49,6.2,4.73,5.02
"Finland (3)",872,3,63,4.11,5.42,4.63,4.07
"France (2)",92,2,71,4.86,5.42,3.93,4.37
"Germany (13)",6632,13,67,4.79,5.19,3.74,4.14
"Greece (4)",2231,4,35,5.4,5.46,3.25,5.27
"Hong Kong (2)",529,2,25,4.43,5.11,4.13,5.32
"India (11)",3162,11,48,4.71,5.32,4.38,5.92
"Iran (7)",4075,7,41,5.54,5.86,3.88,6.03
"Ireland (1)",254,1,70,4.59,5.74,4.63,5.14
"Israel (3)",4321,3,54,4.27,5.75,4.46,4.7
"Italy (9)",3331,9,76,5.13,5.72,3.68,4.94
"Japan (4)",1266,4,46,3.99,5.26,5.19,4.63
"Lebanon (2)",735,2,40,4.76,5.76,4.24,5.29
"Lithuania (3)",1213,3,60,4.06,5.77,4.52,5.57
"Luxembourg (1)",602,1,60,4.69,5.18,4.12,3.86
"Malaysia (9)",2762,9,26,4.87,5.85,4.61,5.51
"Mexico (2)",419,2,30,4.92,5.95,4.06,5.71
"Netherlands (5)",1831,5,80,4.55,5.17,4.46,3.7
"New Zealand (2)",1409,2,79,4.2,6.21,4.81,3.67
"Nigeria (1)",1360,1,30,5.03,5.48,4.14,5.55
"Norway (2)",2020,2,69,3.94,6.04,5.22,3.66
"Pakistan (6)",1765,6,14,4.76,5.45,4.42,5.42
"Portugal (1)",42,1,27,5.3,5.94,3.92,5.51
"Russia (1)",204,1,39,3.89,5.79,4.5,5.63
"Saudi Arabia (1)",611,1,25,5.27,5.63,4.29,5.51
"Singapore (1)",800,1,20,4.55,5.5,4.9,5.64
"South Africa (1)",2004,1,65,4.34,5.45,4.5,4.8
"South Korea (5)",1318,5,18,3.9,5.41,5.2,5.54
"Spain (1)",406,1,51,5.2,5.79,3.85,5.45
"Sri Lanka (1)",440,1,35,4.71,5.32,4.38,5.92
"Sweden (6)",5125,6,71,3.94,6.04,5.22,3.66
"Switzerland (6)",4598,6,68,4.66,4.97,4.07,3.96
"Taiwan (10)",5875,10,17,5.15,5.45,4.59,5.59
"Turkey (7)",4568,7,37,5.26,5.77,4.03,5.88
"Uganda (1)",163,1,27,4.8,5.81,4.36,5.7
"UK (13)",5012,13,89,4.31,5.55,4.27,4.08
"USA (24)",13202,24,91,4.17,5.77,4.2,4.25
"Vietnam (2)",950,2,20,5.01,5.8,4.42,5.88
