"","V1","V2","V3","V4","V5","V6"
"model2_IC",2.556,0,0,1,0.999,-20102.582
"model3_IC",62.675,2,0.015,0.852,0.98,-20066.02
"model4_IC",193.261,3,0.022,0.69,0.938,-19947.212
"model2_inst_v",0.832,0,0,1,1,-20104.306
"model3_inst_v",415.119,2,0.04,-0.01,0.865,-19713.575
"model4_inst_v",191.282,3,0.022,0.693,0.939,-19949.19
"model2_inst_p",3.042,0,0,1,0.999,-20102.096
"model3_inst_p",69.568,2,0.016,0.835,0.978,-20059.126
"model4_inst_p",193.778,3,0.022,0.689,0.938,-19946.694
"model2_ingr_v",-10.492,0,0,1,1.003,-20115.63
"model3_ingr_v",48.739,2,0.013,0.886,0.985,-20079.955
"model4_ingr_v",75.371,3,0.014,0.882,0.976,-20065.101
"model2_ingr_p",0.367,0,0,1,1,-20104.771
"model3_ingr_p",60.124,2,0.015,0.858,0.981,-20068.571
"model4_ingr_p",188.401,3,0.022,0.698,0.94,-19952.071
